File extension,Target directory
.001,Shape
.BIN,Other
.DBF,Shape
.INF,Other
.NDX,Other
.XML,Docs
.accdb,Other
.aft,Other
.bak,Other
.bak~,Other
.bin,Other
.bmc,Other
.cpg,Shape
.csv,Docs
.dbf,Shape
.docx,Docs
.gdb,Shape
.gpkg,Shape
.gpx,Shape
.grd,Shape
.ifo,Other
.ini,Other
.jpg,Docs
.kml,Shape
.lvl,Other
.mgrd,Other
.mshp,Other
.ods,Shape
.odt,Docs
.pdf,Docs
.png,Docs
.points,Shape
.prj,Shape
.pub,Docs
.qgz,Other
.qix,Other
.qmd,Other
.qml,Other
.qpt,Other
.rar,Other
.sdat,Shape
.sgrd,Shape
.shp,Shape
.shx,Shape
.sprj,Shape
.tfw,Shape
.tif,Other
.txt,Other
.wld,Other
.xcf,Other
.xlsx,Docs
.xml,Docs
.zip,Other
