File extension,Target directory
.001,shape
.BIN,other
.DBF,other
.INF,other
.NDX,other
.XML,other
.accdb,other
.aft,other
.bak,other
.bak~,other
.bin,other
.bmc,other
.cpg,shape
.csv,docs
.dbf,shape
.docx,docs
.gdb,shape
.gpkg,shape
.gpx,shape
.grd,shape
.ifo,other
.ini,other
.jpg,docs
.kml,shape
.lvl,other
.mgrd,shape
.mshp,shape
.ods,other
.odt,other
.pdf,docs
.png,docs
.points,other
.prj,shape
.pub,docs
.qgz,other
.qix,other
.qmd,shape
.qml,shape
.qpt,shape
.rar,other
.sdat,shape
.sgrd,shape
.shp,shape
.shx,shape
.sprj,shape
.tfw,shape
.tif,shape
.txt,other
.wld,other
.xcf,shape
.xlsx,docs
.xml,other
.zip,other
